id,input,req_count,ext_input,cost_money,target_type,target_id,output,time,desc,preferred_job
GATHER_BERRY,ANY,,,,BUILDING,BUSH,ITEM:浆果:1,100,采集浆果,
CHOP_TREE,ANY,,,,BUILDING,TREE,ITEM:木材:1,150,伐木,
MINE_STONE,ANY,,,,BUILDING,MINE,ITEM:石料:1,180,采石,MINER
MINE_IRON,ANY,,,,BUILDING,MINE,ITEM:铁料:1,250,挖矿,MINER
CATCH_FISH,ANY,,,,BUILDING,FISHPOND,ITEM:生鱼:1,120,捕鱼,FISHERMAN
BUILD_CAMPFIRE,ANY,1,,,RESOURCE,木材,BUILDING:CAMPFIRE,150,搭建篝火
BUILD_HOUSE,ANY,2,,,RESOURCE,木材,BUILDING:HOUSE,300,建造民居
BUILD_MARKET,ANY,3,,,RESOURCE,木材,BUILDING:MARKET,400,搭建集市
BUILD_FARM,ANY,4,,,RESOURCE,木材,BUILDING:FARM,400,开垦农田
BUILD_GRANARY,ANY,5,,,RESOURCE,木材,BUILDING:GRANARY,400,建造粮仓
BUILD_HOUSE,木材,3,,,HUMAN,ANY,BUILDING:HOUSE,300,建造民居
BUILD_MARKET,木材,5,,,HUMAN,ANY,BUILDING:MARKET,400,搭建集市
BUILD_FARM,木材,5,,,HUMAN,ANY,BUILDING:FARM,400,开垦农田
BUILD_GRANARY,木材,5,,,HUMAN,ANY,BUILDING:GRANARY,400,建造粮仓
COOK_BERRY,浆果,,,,BUILDING,CAMPFIRE,ITEM:烤果:1,120,烹饪
COOK_FISH,生鱼,,,,BUILDING,CAMPFIRE,ITEM:烤鱼:1,150,烤鱼
ADD_FUEL,木材,,,,BUILDING,CAMPFIRE,_FUEL,60,添柴
REST_HOUSE,ANY,,,,BUILDING,HOUSE,STAT:REST,200,休息
PLANT_BUSH,泥土,,浆果:1,,HUMAN,ANY,BUILDING:BUSH,200,种植
SELL_WOOD,木材,1,,,BUILDING,MARKET,ITEM:铜钱:3,50,出售木材
SELL_BERRY,浆果,1,,,BUILDING,MARKET,ITEM:铜钱:2,30,出售浆果
SELL_STONE,石料,1,,,BUILDING,MARKET,ITEM:铜钱:3,50,出售石料
SELL_IRON,铁料,1,,,BUILDING,MARKET,ITEM:铜钱:6,50,出售铁料
SELL_FISH,生鱼,1,,,BUILDING,MARKET,ITEM:铜钱:5,40,出售生鱼
WORK_FARM_WHEAT,FARMER,,,,BUILDING,FARM,ITEM:小麦:1,200,耕种
WORK_FARM_PLAYER,PLAYER,,,,BUILDING,FARM,ITEM:小麦:1,200,耕种
WORK_MARKET,MERCHANT,,小麦:1,,BUILDING,MARKET,ITEM:铜钱:5,100,出售粮食
FARMER_SELL,FARMER,,小麦:1,,BUILDING,MARKET,ITEM:铜钱:5,120,农夫卖粮
WORK_SCHOOL,SCHOLAR,,,,BUILDING,SCHOOL,ITEM:铜钱:2,180,讲学
RECRUIT_GUARD,NONE,,,100,HUMAN,ANY,FOLLOWER:TRUE,100,招募护院
TRAIN_FARMER,NONE,,,,BUILDING,GRANARY,JOB:FARMER,150,安置农夫
FARM_WORK,FARMER,,,,BUILDING,FARM,ITEM:小麦:1,200,耕种
COOK_BUN,MERCHANT,,小麦:1,,BUILDING,INN,ITEM:肉包子:1,150,做包子
COOK_BUN_2,FARMER,,小麦:1,,BUILDING,INN,ITEM:肉包子:1,150,做包子
WRITE_SCROLL,SCHOLAR,,,,BUILDING,SCHOOL,ITEM:字画:1,300,著书立说
PRAY,MONK,,,,BUILDING,TEMPLE,ITEM:护身符:1,250,诵经祈福
PERFORM,ARTISAN,,,,BUILDING,THEATER,ITEM:铜钱:8,180,献艺
PERFORM_DANCER,DANCER,,,,BUILDING,THEATER,ITEM:铜钱:10,180,献舞
CRAFT_TOOL,ARTISAN,,木材:1,,BUILDING,WORKSHOP,ITEM:精制器物:1,200,打造器物
CRAFT_SWORD,ARTISAN,,铁料:2,,BUILDING,WORKSHOP,ITEM:铁剑:1,300,锻造铁剑
CRAFT_KNIFE,ARTISAN,,铁料:1,,BUILDING,WORKSHOP,ITEM:朴刀:1,220,打制朴刀
CRAFT_LEATHER,ARTISAN,,木材:2,,BUILDING,WORKSHOP,ITEM:皮甲:1,280,制作皮甲
CRAFT_MAIL,ARTISAN,,铁料:4,,BUILDING,WORKSHOP,ITEM:锁子甲:1,500,锻造锁甲
CRAFT_COAT,ARTISAN,,木棍:1,,BUILDING,WORKSHOP,ITEM:粗布衣:1,120,缝制布衣
CRAFT_PADDED,ARTISAN,,木棍:2,,BUILDING,WORKSHOP,ITEM:棉袄:1,180,缝制棉袄
SELL_TOOL_ARTISAN,ARTISAN,,精制器物:1,,BUILDING,MARKET,ITEM:铜钱:20,100,售卖器物
SELL_SWORD,ARTISAN,,铁剑:1,,BUILDING,MARKET,ITEM:铜钱:60,100,售卖铁剑
SELL_KNIFE,ARTISAN,,朴刀:1,,BUILDING,MARKET,ITEM:铜钱:40,100,售卖朴刀
SELL_ARMOR,MERCHANT,,皮甲:1,,BUILDING,MARKET,ITEM:铜钱:50,100,售卖皮甲
GOV_WORK,OFFICIAL,,,,BUILDING,GOV_OFFICE,ITEM:铜钱:15,400,审案断狱
GUARD_SALARY,GUARD,,,,BUILDING,GOV_OFFICE,ITEM:铜钱:10,300,领取俸禄
HEAL_IN_HOSPITAL,ANY,,,,BUILDING,CLINIC,ACTION:HEAL,300,救治中
HEAL_WILD,MONK,,,,NPC,ANY,ACTION:HEAL_SLOW,150,念经疗伤
HEAL_WILD_DOC,ANY,,,,NPC,ANY,ACTION:HEAL_SLOW,200,野外急救
SELL_WHEAT,FARMER,,小麦:1,,BUILDING,MARKET,ITEM:铜钱:3,80,卖粮
SELL_SCROLL,MERCHANT,,字画:1,,BUILDING,MARKET,ITEM:铜钱:20,100,倒卖字画
SELL_AMULET,MERCHANT,,护身符:1,,BUILDING,MARKET,ITEM:铜钱:15,100,售卖符水
SELL_FURNITURE,MERCHANT,,精制器物:1,,BUILDING,MARKET,ITEM:铜钱:25,100,出售器物
SELL_BUN,MERCHANT,,肉包子:1,,BUILDING,MARKET,ITEM:铜钱:10,80,卖包子
GUARD_GATE,GUARD,,,,BUILDING,GATEHOUSE,ITEM:铜钱:5,300,把守城门
